Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link 
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,26.83,Ot-M4-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212402,https://www.ncbi.nlm.nih.gov/sra/SRX32212402[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,166.74,Ot-M4-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212401,https://www.ncbi.nlm.nih.gov/sra/SRX32212401[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,52.06,Ot-M4-E-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212400,https://www.ncbi.nlm.nih.gov/sra/SRX32212400[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,97.46,Ot-M4-E-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212399,https://www.ncbi.nlm.nih.gov/sra/SRX32212399[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,59.82,Ot-M4-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212398,https://www.ncbi.nlm.nih.gov/sra/SRX32212398[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,42.21,Ot-M11-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212397,https://www.ncbi.nlm.nih.gov/sra/SRX32212397[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,156.39,Ot-M11-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212396,https://www.ncbi.nlm.nih.gov/sra/SRX32212396[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,46.06,Ot-M11-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212395,https://www.ncbi.nlm.nih.gov/sra/SRX32212395[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,113.05,Ot-F10-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212394,https://www.ncbi.nlm.nih.gov/sra/SRX32212394[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,2.05,Ot-M11-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212393,https://www.ncbi.nlm.nih.gov/sra/SRX32212393[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,19.26,Ot-M11-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212392,https://www.ncbi.nlm.nih.gov/sra/SRX32212392[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,175.69,Ot-M11-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212391,https://www.ncbi.nlm.nih.gov/sra/SRX32212391[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,57.84,Ot-F9-PH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212390,https://www.ncbi.nlm.nih.gov/sra/SRX32212390[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,114.81,Ot-F9-PH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212389,https://www.ncbi.nlm.nih.gov/sra/SRX32212389[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,65.59,Ot-F9-PH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212388,https://www.ncbi.nlm.nih.gov/sra/SRX32212388[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,107.17,Ot-F9-PH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212387,https://www.ncbi.nlm.nih.gov/sra/SRX32212387[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,45.79,Ot-F9-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212386,https://www.ncbi.nlm.nih.gov/sra/SRX32212386[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,95.66,Ot-F9-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212385,https://www.ncbi.nlm.nih.gov/sra/SRX32212385[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,64.94,Ot-F9-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212384,https://www.ncbi.nlm.nih.gov/sra/SRX32212384[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,22.41,Ot-F10-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212383,https://www.ncbi.nlm.nih.gov/sra/SRX32212383[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,145.77,Ot-F9-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212382,https://www.ncbi.nlm.nih.gov/sra/SRX32212382[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,54.77,Ot-F9-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212381,https://www.ncbi.nlm.nih.gov/sra/SRX32212381[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,83.65,Ot-F9-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212380,https://www.ncbi.nlm.nih.gov/sra/SRX32212380[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,63.68,Ot-F9-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212379,https://www.ncbi.nlm.nih.gov/sra/SRX32212379[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,124.54,Ot-F9-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212378,https://www.ncbi.nlm.nih.gov/sra/SRX32212378[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,279.99,Ot-F9-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212377,https://www.ncbi.nlm.nih.gov/sra/SRX32212377[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,65.1,Ot-F9-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212376,https://www.ncbi.nlm.nih.gov/sra/SRX32212376[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,14.27,Ot-F9-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212375,https://www.ncbi.nlm.nih.gov/sra/SRX32212375[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,44.92,Ot-F9-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212374,https://www.ncbi.nlm.nih.gov/sra/SRX32212374[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,108.5,Ot-F9-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212373,https://www.ncbi.nlm.nih.gov/sra/SRX32212373[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,23.91,Ot-F10-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212372,https://www.ncbi.nlm.nih.gov/sra/SRX32212372[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,33.58,Ot-F10-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212371,https://www.ncbi.nlm.nih.gov/sra/SRX32212371[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,134.44,Ot-F10-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212370,https://www.ncbi.nlm.nih.gov/sra/SRX32212370[accn]
Onthophagus taurus,Dovetail Omni-C reads of genomic DNA from Onthophagus taurus,Indiana University,Onthophagus taurus isolate:NC Genome sequencing,9780.36,Otau_HiC,Hi-C,GENOMIC,SRX20210261,https://www.ncbi.nlm.nih.gov/sra/SRX20210261[accn]
Onthophagus taurus,PacBio HiFi CCS reads of genomic DNA from Onthophagus taurus,Indiana University,Onthophagus taurus isolate:NC Genome sequencing,15062.2,Otau_HiFi,WGS,GENOMIC,SRX20210260,https://www.ncbi.nlm.nih.gov/sra/SRX20210260[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,236.25,rep1_M2L,ATAC-seq,GENOMIC,SRX20208371,https://www.ncbi.nlm.nih.gov/sra/SRX20208371[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,114.35,rep1_M2H,ATAC-seq,GENOMIC,SRX20208370,https://www.ncbi.nlm.nih.gov/sra/SRX20208370[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,549.56,rep1_M1L,ATAC-seq,GENOMIC,SRX20208369,https://www.ncbi.nlm.nih.gov/sra/SRX20208369[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,919.27,rep1_F5L,ATAC-seq,GENOMIC,SRX20208368,https://www.ncbi.nlm.nih.gov/sra/SRX20208368[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,174.37,rep5_M5L,ATAC-seq,GENOMIC,SRX20208367,https://www.ncbi.nlm.nih.gov/sra/SRX20208367[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,248.43,rep5_M5H,ATAC-seq,GENOMIC,SRX20208366,https://www.ncbi.nlm.nih.gov/sra/SRX20208366[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,229.47,rep5_M4L,ATAC-seq,GENOMIC,SRX20208365,https://www.ncbi.nlm.nih.gov/sra/SRX20208365[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,253.08,rep5_M4H,ATAC-seq,GENOMIC,SRX20208364,https://www.ncbi.nlm.nih.gov/sra/SRX20208364[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,178.66,rep5_M3L,ATAC-seq,GENOMIC,SRX20208363,https://www.ncbi.nlm.nih.gov/sra/SRX20208363[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,202.5,rep5_M3H,ATAC-seq,GENOMIC,SRX20208362,https://www.ncbi.nlm.nih.gov/sra/SRX20208362[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,252.56,rep5_M2L,ATAC-seq,GENOMIC,SRX20208361,https://www.ncbi.nlm.nih.gov/sra/SRX20208361[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,124.91,rep5_M2H,ATAC-seq,GENOMIC,SRX20208360,https://www.ncbi.nlm.nih.gov/sra/SRX20208360[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,1247.08,rep1_F5H,ATAC-seq,GENOMIC,SRX20208359,https://www.ncbi.nlm.nih.gov/sra/SRX20208359[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,180.11,rep5_M1L,ATAC-seq,GENOMIC,SRX20208358,https://www.ncbi.nlm.nih.gov/sra/SRX20208358[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,306.71,rep5_F5L,ATAC-seq,GENOMIC,SRX20208357,https://www.ncbi.nlm.nih.gov/sra/SRX20208357[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,1483.12,rep5_F5H,ATAC-seq,GENOMIC,SRX20208356,https://www.ncbi.nlm.nih.gov/sra/SRX20208356[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,2364.03,rep5_F3L,ATAC-seq,GENOMIC,SRX20208355,https://www.ncbi.nlm.nih.gov/sra/SRX20208355[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,1273.29,rep5_F3H,ATAC-seq,GENOMIC,SRX20208354,https://www.ncbi.nlm.nih.gov/sra/SRX20208354[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,188.84,rep5_F2H,ATAC-seq,GENOMIC,SRX20208353,https://www.ncbi.nlm.nih.gov/sra/SRX20208353[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,149.57,rep5_F1L,ATAC-seq,GENOMIC,SRX20208352,https://www.ncbi.nlm.nih.gov/sra/SRX20208352[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,147.08,rep5_F1H,ATAC-seq,GENOMIC,SRX20208351,https://www.ncbi.nlm.nih.gov/sra/SRX20208351[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,27.61,rep4_M5L,ATAC-seq,GENOMIC,SRX20208350,https://www.ncbi.nlm.nih.gov/sra/SRX20208350[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,38.96,rep4_M5H,ATAC-seq,GENOMIC,SRX20208349,https://www.ncbi.nlm.nih.gov/sra/SRX20208349[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,2274.39,rep1_F3L,ATAC-seq,GENOMIC,SRX20208348,https://www.ncbi.nlm.nih.gov/sra/SRX20208348[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,39.81,rep4_M4L,ATAC-seq,GENOMIC,SRX20208347,https://www.ncbi.nlm.nih.gov/sra/SRX20208347[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,38.09,rep4_M4H,ATAC-seq,GENOMIC,SRX20208346,https://www.ncbi.nlm.nih.gov/sra/SRX20208346[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,30.26,rep4_M3L,ATAC-seq,GENOMIC,SRX20208345,https://www.ncbi.nlm.nih.gov/sra/SRX20208345[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,32.16,rep4_M3H,ATAC-seq,GENOMIC,SRX20208344,https://www.ncbi.nlm.nih.gov/sra/SRX20208344[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,39.79,rep4_M2L,ATAC-seq,GENOMIC,SRX20208343,https://www.ncbi.nlm.nih.gov/sra/SRX20208343[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,20.13,rep4_M2H,ATAC-seq,GENOMIC,SRX20208342,https://www.ncbi.nlm.nih.gov/sra/SRX20208342[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,29.25,rep4_M1L,ATAC-seq,GENOMIC,SRX20208341,https://www.ncbi.nlm.nih.gov/sra/SRX20208341[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,48.15,rep4_F5L,ATAC-seq,GENOMIC,SRX20208340,https://www.ncbi.nlm.nih.gov/sra/SRX20208340[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,226.88,rep4_F5H,ATAC-seq,GENOMIC,SRX20208339,https://www.ncbi.nlm.nih.gov/sra/SRX20208339[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,437.5,rep4_F3L,ATAC-seq,GENOMIC,SRX20208338,https://www.ncbi.nlm.nih.gov/sra/SRX20208338[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,1069.47,rep1_F3H,ATAC-seq,GENOMIC,SRX20208337,https://www.ncbi.nlm.nih.gov/sra/SRX20208337[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,199.52,rep4_F3H,ATAC-seq,GENOMIC,SRX20208336,https://www.ncbi.nlm.nih.gov/sra/SRX20208336[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,29.88,rep4_F2H,ATAC-seq,GENOMIC,SRX20208335,https://www.ncbi.nlm.nih.gov/sra/SRX20208335[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,24.6,rep4_F1L,ATAC-seq,GENOMIC,SRX20208334,https://www.ncbi.nlm.nih.gov/sra/SRX20208334[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,26.13,rep4_F1H,ATAC-seq,GENOMIC,SRX20208333,https://www.ncbi.nlm.nih.gov/sra/SRX20208333[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,87.99,rep2_M5L,ATAC-seq,GENOMIC,SRX20208332,https://www.ncbi.nlm.nih.gov/sra/SRX20208332[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,76.16,rep2_M5H,ATAC-seq,GENOMIC,SRX20208331,https://www.ncbi.nlm.nih.gov/sra/SRX20208331[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,79.48,rep2_M4L,ATAC-seq,GENOMIC,SRX20208330,https://www.ncbi.nlm.nih.gov/sra/SRX20208330[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,84.43,rep2_M4H,ATAC-seq,GENOMIC,SRX20208329,https://www.ncbi.nlm.nih.gov/sra/SRX20208329[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,75.95,rep2_M3H,ATAC-seq,GENOMIC,SRX20208328,https://www.ncbi.nlm.nih.gov/sra/SRX20208328[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,15.31,rep2_M2L,ATAC-seq,GENOMIC,SRX20208327,https://www.ncbi.nlm.nih.gov/sra/SRX20208327[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,162.03,rep1_F2H,ATAC-seq,GENOMIC,SRX20208326,https://www.ncbi.nlm.nih.gov/sra/SRX20208326[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,84.54,rep2_M2H,ATAC-seq,GENOMIC,SRX20208325,https://www.ncbi.nlm.nih.gov/sra/SRX20208325[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,89,rep2_F2H,ATAC-seq,GENOMIC,SRX20208324,https://www.ncbi.nlm.nih.gov/sra/SRX20208324[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,80.8,rep2_F1L,ATAC-seq,GENOMIC,SRX20208323,https://www.ncbi.nlm.nih.gov/sra/SRX20208323[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,55.27,rep2_F1H,ATAC-seq,GENOMIC,SRX20208322,https://www.ncbi.nlm.nih.gov/sra/SRX20208322[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,154.39,rep1_M5L,ATAC-seq,GENOMIC,SRX20208321,https://www.ncbi.nlm.nih.gov/sra/SRX20208321[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,222.65,rep1_M5H,ATAC-seq,GENOMIC,SRX20208320,https://www.ncbi.nlm.nih.gov/sra/SRX20208320[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,205.27,rep1_M4L,ATAC-seq,GENOMIC,SRX20208319,https://www.ncbi.nlm.nih.gov/sra/SRX20208319[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,215.76,rep1_M4H,ATAC-seq,GENOMIC,SRX20208318,https://www.ncbi.nlm.nih.gov/sra/SRX20208318[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,161.89,rep1_M3L,ATAC-seq,GENOMIC,SRX20208317,https://www.ncbi.nlm.nih.gov/sra/SRX20208317[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,175.02,rep1_M3H,ATAC-seq,GENOMIC,SRX20208316,https://www.ncbi.nlm.nih.gov/sra/SRX20208316[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,141.02,rep1_F1L,ATAC-seq,GENOMIC,SRX20208315,https://www.ncbi.nlm.nih.gov/sra/SRX20208315[accn]
Onthophagus taurus,O. taurus pupal head horns,Indiana University,Chromatin Accessibility of Onthophagus taurus Head Horns,131.35,rep1_F1H,ATAC-seq,GENOMIC,SRX20208314,https://www.ncbi.nlm.nih.gov/sra/SRX20208314[accn]
Onthophagus taurus,WGBS of Onthophagus taurus: head and thorax of adult,DKFZ,Evolutionary patterns of DNA methylation in insects,7350.99,Otau-m01-lib,Bisulfite-Seq,GENOMIC,SRX9582924,https://www.ncbi.nlm.nih.gov/sra/SRX9582924[accn]
Onthophagus taurus,Onthophagus taurus: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,672.7,GSF1556-40-Otau-large_S24_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782572,https://www.ncbi.nlm.nih.gov/sra/SRX7782572[accn]
Onthophagus taurus,Onthophagus taurus: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,664.25,GSF1556-39-Otau-large_S23_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782571,https://www.ncbi.nlm.nih.gov/sra/SRX7782571[accn]
